sample_id,roi_id,interaction_id,frame_index,timestamp,track_id,backend_name,topology,num_keypoints,overall_confidence,quality_score,processing_time_ms
SMP-INT-0002-103,ROI-INT-0002,INT-0002,103,3.437,10002,MediaPipe,COCO_17,17,0.5,0.5,10.8
SMP-INT-0001-104,ROI-INT-0001,INT-0001,104,3.47,10003,MediaPipe,COCO_17,17,0.7006,0.6182,26.0
SMP-INT-0002-104,ROI-INT-0002,INT-0002,104,3.47,10002,MediaPipe,COCO_17,17,0.5,0.5,10.78
SMP-INT-0001-105,ROI-INT-0001,INT-0001,105,3.504,10003,MediaPipe,COCO_17,17,0.6796,0.5597,25.26
SMP-INT-0002-105,ROI-INT-0002,INT-0002,105,3.504,10002,MediaPipe,COCO_17,17,0.5,0.5,10.68
SMP-INT-0001-106,ROI-INT-0001,INT-0001,106,3.537,10003,MediaPipe,COCO_17,17,0.7585,0.7139,26.91
SMP-INT-0002-106,ROI-INT-0002,INT-0002,106,3.537,10002,MediaPipe,COCO_17,17,0.5,0.5,11.54
SMP-INT-0001-109,ROI-INT-0001,INT-0001,109,3.637,10003,MediaPipe,COCO_17,17,0.5,0.5,12.3
SMP-INT-0002-109,ROI-INT-0002,INT-0002,109,3.637,10002,MediaPipe,COCO_17,17,0.5,0.5,10.93
SMP-INT-0001-110,ROI-INT-0001,INT-0001,110,3.67,10003,MediaPipe,COCO_17,17,0.5,0.5,10.77
SMP-INT-0002-110,ROI-INT-0002,INT-0002,110,3.67,10002,MediaPipe,COCO_17,17,0.5,0.5,10.71
SMP-INT-0001-116,ROI-INT-0001,INT-0001,116,3.871,10003,MediaPipe,COCO_17,17,0.5,0.5,11.39
SMP-INT-0002-116,ROI-INT-0002,INT-0002,116,3.871,10002,MediaPipe,COCO_17,17,0.5,0.5,10.71
SMP-INT-0001-117,ROI-INT-0001,INT-0001,117,3.904,10003,MediaPipe,COCO_17,17,0.5,0.5,11.3
SMP-INT-0002-117,ROI-INT-0002,INT-0002,117,3.904,10002,MediaPipe,COCO_17,17,0.5,0.5,11.98
SMP-INT-0001-118,ROI-INT-0001,INT-0001,118,3.937,10003,MediaPipe,COCO_17,17,0.5,0.5,11.7
SMP-INT-0002-118,ROI-INT-0002,INT-0002,118,3.937,10002,MediaPipe,COCO_17,17,0.5,0.5,11.1
SMP-INT-0003-119,ROI-INT-0003,INT-0003,119,3.971,1,MediaPipe,COCO_17,17,0.5,0.5,11.07
SMP-INT-0003-120,ROI-INT-0003,INT-0003,120,4.004,1,MediaPipe,COCO_17,17,0.5,0.5,11.07
SMP-INT-0003-121,ROI-INT-0003,INT-0003,121,4.037,1,MediaPipe,COCO_17,17,0.5,0.5,10.87
SMP-INT-0003-122,ROI-INT-0003,INT-0003,122,4.071,1,MediaPipe,COCO_17,17,0.5,0.5,10.74
SMP-INT-0003-123,ROI-INT-0003,INT-0003,123,4.104,1,MediaPipe,COCO_17,17,0.5,0.5,10.71
SMP-INT-0003-124,ROI-INT-0003,INT-0003,124,4.137,1,MediaPipe,COCO_17,17,0.5,0.5,11.66
SMP-INT-0003-125,ROI-INT-0003,INT-0003,125,4.171,1,MediaPipe,COCO_17,17,0.5,0.5,11.31
